856_filetype	date	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
0	1873	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1883	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1888	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1889	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1890	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1891	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1892	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1893	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1894	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1895	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1896	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1897	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1899	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1900	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1901	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1902	0	4	0	0	4	0	0	0	0	0	0	0	0
0	1903	0	3	0	0	3	0	0	0	0	0	0	0	0
0	1904	0	4	0	0	4	0	0	0	0	0	0	0	0
0	1905	0	3	0	0	3	0	0	0	0	0	0	0	0
0	1906	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1907	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1908	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1909	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1910	0	3	0	0	3	0	0	0	0	0	0	0	0
0	1911	0	5	0	0	5	0	0	0	0	0	0	0	0
0	1912	0	5	0	0	5	0	0	0	0	0	0	0	0
0	1913	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1914	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1915	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1916	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1917	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1919	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1920	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1921	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1922	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1923	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1924	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1926	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1927	0	8	0	0	8	0	0	0	0	0	0	0	0
0	1928	0	5	0	0	5	0	0	0	0	0	0	0	0
0	1929	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1930	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1931	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1932	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1933	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1935	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1936	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1937	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1938	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1939	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1940	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1941	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1943	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1944	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1945	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1946	0	2	0	0	2	0	0	0	0	0	0	0	0
0	1947	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1948	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1949	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1950	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1951	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1952	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1953	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1955	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1956	0	1	0	0	0	0	0	0	1	0	0	0	0
0	1957	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1958	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1959	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1960	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1961	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1962	0	1	0	0	0	0	0	0	1	0	0	0	0
0	1963	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1964	0	3	0	0	3	0	0	0	0	0	0	0	0
0	1965	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1966	0	1	0	0	1	0	0	0	0	0	0	0	0
0	1967	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1968	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1969	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1970	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1971	0	1	1	0	0	0	0	0	0	0	0	0	0
0	1972	0	1	1	0	0	0	0	0	0	0	0	0	0
0	1973	0	1	0	0	0	1	0	0	0	0	0	0	0
0	1974	0	4	0	0	3	1	0	0	0	0	2	2	0
0	1975	0	5	0	0	5	0	0	0	0	0	2	2	0
0	1976	0	10	1	3	6	0	0	0	0	0	1	1	0
0	1977	0	7	0	6	2	0	0	0	0	0	0	0	0
0	1978	0	7	0	3	5	0	0	0	0	0	0	0	0
0	1979	0	16	5	8	5	0	0	0	0	0	1	1	0
0	1980	0	10	3	4	2	1	0	0	0	0	1	1	0
0	1981	0	19	1	6	12	0	0	0	0	0	14	14	0
0	1982	0	26	4	7	17	0	0	0	0	0	15	15	0
0	1983	0	29	4	7	18	0	0	0	0	0	13	13	0
0	1984	0	30	8	2	20	0	0	0	0	0	7	7	0
0	1985	0	30	5	10	14	1	0	0	0	0	22	22	0
0	1986	0	37	11	5	21	0	0	0	0	0	17	17	0
0	1987	0	43	11	12	20	0	0	0	0	0	13	13	0
0	1988	0	38	9	15	15	2	0	0	0	0	3	3	0
0	1989	0	44	12	15	17	0	0	0	0	0	11	11	0
0	1990	0	33	9	14	12	0	0	0	0	0	15	15	0
0	1991	0	59	11	23	23	1	0	0	1	0	21	21	0
0	1992	0	64	11	19	28	6	0	0	1	0	15	15	0
0	1993	0	85	27	32	26	3	0	1	0	0	14	14	0
0	1994	0	76	24	24	24	5	0	0	1	0	23	23	0
0	1995	0	101	28	35	27	12	0	0	1	0	13	13	0
0	1996	0	112	38	38	31	6	0	0	1	0	10	10	0
0	1997	0	150	53	33	45	23	0	0	1	0	20	20	0
0	1998	0	119	64	29	7	20	0	0	1	0	3	3	0
0	1999	0	142	60	38	40	14	0	0	1	0	10	10	0
0	2000	1	192	112	31	39	13	0	1	2	0	4	4	0
0	2001	0	170	105	30	28	12	0	0	2	0	3	3	0
0	2002	0	231	165	38	21	8	0	5	1	0	4	4	0
0	2003	1	219	142	40	30	6	0	4	2	0	7	7	0
0	2004	2	214	137	49	25	12	1	1	3	0	5	5	0
0	2005	0	206	121	50	18	17	8	2	2	0	5	5	0
0	2006	2	208	125	50	18	20	5	2	1	0	10	10	0
0	2007	0	254	175	53	18	13	9	5	3	0	7	7	0
0	2008	1	874	631	224	25	13	19	23	18	0	7	7	0
0	2009	2	793	565	186	33	20	33	11	13	0	11	8	4
0	2010	2	926	680	245	40	23	21	9	15	0	17	13	5
0	2011	1	317	226	33	48	16	13	7	3	0	23	19	5
0	2012	4	327	239	17	39	20	20	2	5	1	37	33	7
0	2013	3	387	258	32	54	30	13	17	4	1	76	67	12
0	2014	1	407	267	48	60	26	32	1	4	0	116	96	29
0	2015	6	380	236	70	63	20	29	8	6	0	118	106	30
0	2016	22	432	308	55	64	17	17	13	4	1	124	102	35
0	2017	26	520	320	88	89	21	25	23	5	0	162	139	52
0	2018	81	836	624	114	94	26	34	9	6	0	311	267	73
0	2019	116	1312	1033	162	102	59	53	12	23	3	458	413	73
0	2020	192	1687	1343	267	129	77	70	5	39	29	656	591	122
0	2021	287	2000	1563	337	121	103	75	41	58	27	769	666	169
0	2022	364	1824	1400	331	156	100	64	27	50	35	790	681	199
0	2023	221	1384	1057	225	101	67	75	38	29	39	567	487	141
0	2024	62	302	234	62	20	9	16	4	9	4	154	138	29
7Z	2016	1	0	0	0	0	0	0	0	0	0	0	0	0
7Z	2017	1	0	0	0	0	0	0	0	0	0	0	0	0
AVI	2008	7	7	4	3	0	0	0	0	0	0	0	0	0
AVI	2010	0	3	3	0	0	0	0	0	0	0	0	0	0
AVI	2018	6	4	0	4	0	0	0	0	0	0	6	6	2
AVI	2020	4	3	1	2	0	0	0	0	0	0	4	4	4
AVI	2021	11	11	3	11	0	0	0	0	0	0	7	7	3
AVI	2022	10	6	0	6	0	0	0	0	0	0	9	9	0
AVI	2023	9	9	0	9	0	2	0	0	0	0	9	9	0
BMC DEVELOPMENTAL BIOLOGY	2012	0	1	0	0	1	0	0	0	0	0	0	0	0
CONTENT	2002	0	0	0	0	0	0	0	0	0	0	0	0	0
CONTENT	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
CSV	2021	1	1	1	0	0	0	0	0	0	0	1	1	1
CSV	2022	11	11	2	9	0	0	0	0	0	0	0	0	0
CSV	2023	15	15	12	7	0	0	0	0	2	0	8	7	1
DOC	1999	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC	2002	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC	2003	0	0	0	0	0	0	0	0	0	0	1	1	0
DOC	2004	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC	2005	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC	2007	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC	2008	0	1	1	1	0	1	0	0	0	0	0	0	0
DOC	2009	3	1	0	0	0	1	0	0	0	0	0	0	0
